booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,status_is_invalid
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,4f58a031228b8eef,3D,60972af3ae80bfef,+91-6478XXXX28,False
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,c0d87e660e0b93ab,18A,db30c6a95f13d29a,+91-6647XXXX62,False
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,eab6f667d54e35cd,30C,ee99bbd158ee612a,+91-8405XXXX20,False
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,738ba1fdca5233bf,33A,5d8685eee89b4fc0,+91-6264XXXX39,False
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,239aaa69139420f9,25C,ba6031f19a9154ee,+91-9336XXXX66,False
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,530d74703fcb3c9d,13D,8a83c03638ee4685,+91-7558XXXX26,False
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,8c3cb0a90b4f3346,17F,ed76387f5e4ea886,+91-9945XXXX64,False
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,abd2d2bb68ce9326,22E,0f1efa384e06fc93,+91-8603XXXX76,False
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,2ed7c07ce75201cf,34F,3df448aab29db803,+91-8965XXXX07,False
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,add9469f9c283952,33C,9e566f93e2d6c362,+91-9877XXXX78,False
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,caacd41aa1eeef33,15B,c7eda1c6c5118471,+91-7598XXXX14,False
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,a13c7b870e54c7fe,22C,9996a464e508c4af,+91-6360XXXX53,False
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,5acff61263a1a4b5,28B,eb73a04b73c6552e,+91-9608XXXX60,False
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,a63eaef073ac6bf2,26E,b99d8b37a291ef75,+91-7535XXXX61,False
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,2eb8dc20c855cffa,21E,a25fdd84ecf083fc,+91-9188XXXX79,False
B1015,P1431,UK094,2025-10-21 11:37:36.951,UNKNOWN,8ab1eadfc15d1891,6F,878484514d04d1ce,+91-7155XXXX12,False
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,9674b4d8be7f1818,6A,ca04097ecd9bb8fc,+91-7432XXXX04,False
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,49ac09dd5b60e2e9,13B,7b4b4c19a7a2a882,+91-9984XXXX57,False
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,d57b62c53ed862a5,19B,4219c63f94882b02,+91-6596XXXX06,False
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,776a13e1a558f69d,19A,55b797167b576ccb,+91-9463XXXX35,False
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,2ae0509d028bac3a,27B,75bced2d95f5de9f,+91-8815XXXX49,False
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,7cf6db026d608f9c,4E,f51f4c2eb72b1919,+91-6258XXXX61,False
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,49cf334059d1d142,16F,11492061674f2516,+91-9567XXXX21,False
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,37715ecdf302cd2e,24B,5ee1d5200e1a42c2,+91-9305XXXX25,False
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,1358652a9a1d9274,30F,ba7b573a6a8c3d90,+91-9941XXXX72,False
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,e7ef161ad28da96d,1B,f6ef9378cebcdfa0,+91-8546XXXX66,False
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,8607ea42636a12fa,32C,8d08c566058075e7,+91-7873XXXX45,False
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,aca7b354704b4dbe,22A,bb72fadb56fb8618,+91-6618XXXX95,False
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,8a9c6dfd82365bee,26E,60cb81aaa3a56ae8,+91-7567XXXX57,False
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,38cf68fe8e417fa6,19C,d07d18343a66c8ce,+91-6537XXXX16,False
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,a7035a889e67a64c,21E,268e0d45ec86a28f,+91-7582XXXX29,False
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,446d4e1800d3b382,1E,52d90ca22fef06c5,+91-7143XXXX49,False
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,b6e8eb96c968da71,18E,4e97df5c81139cdd,+91-9117XXXX99,False
B1033,P1987,UK026,2025-05-06 11:37:36.951,UNKNOWN,5d8d32120e227f07,19A,e267cba76b5f2180,+91-7517XXXX41,False
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,f12ab8dc994433a8,22F,28448f85d2253ab6,+91-7615XXXX06,False
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,2fa0279b58239745,11D,34be0bb5f89112c6,+91-7882XXXX17,False
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,17d2273e15d1f881,5B,fa2810a64f25cda9,+91-6103XXXX47,False
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,6ca943dac3f0e2a8,33E,49ab470757172e28,+91-9648XXXX18,False
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,4fba5afc83d93f70,12D,06c249013bf15ba7,+91-7685XXXX92,False
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,3281484b7767509e,11E,f758a1318a68c6b0,+91-7613XXXX54,False
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,286e007ad58b1ee3,26B,f65b9917d9f35928,+91-7304XXXX30,False
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,5501ce403312fe61,25C,3e9832839bfd10a4,+91-8313XXXX35,False
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,44b7e34e35c22f8e,24F,32dbef97b67feb57,+91-8546XXXX90,False
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,8a85734171e249c1,8E,3fb52fb74d447a31,+91-7608XXXX88,False
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,e40a3f6e4cc1967e,16C,a26a0d8a13bcbf95,+91-9415XXXX54,False
B1045,P1057,SJ214,2026-03-19 11:37:36.951,UNKNOWN,68644a1bbc2e6302,18C,7619f23288caeb1c,+91-9179XXXX32,False
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,c5db5178156ce868,2C,2441e02f2ba228ed,+91-8298XXXX74,False
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,c3902c6d8b2c4716,7C,77c3f94a8e2acf72,+91-8441XXXX08,False
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,e58f32b35a64c7f6,18C,0ced7cfb86c62c22,+91-6971XXXX78,False
